MQ_7_mean,MQ_7_std,MQ_7_median,MQ_7_min,MQ_7_max,MQ_7_range,MQ_7_p25,MQ_7_p75,MQ_7_iqr,MQ_7_skew,MQ_7_kurtosis,MQ_9_mean,MQ_9_std,MQ_9_median,MQ_9_min,MQ_9_max,MQ_9_range,MQ_9_p25,MQ_9_p75,MQ_9_iqr,MQ_9_skew,MQ_9_kurtosis,TGS_822_mean,TGS_822_std,TGS_822_median,TGS_822_min,TGS_822_max,TGS_822_range,TGS_822_p25,TGS_822_p75,TGS_822_iqr,TGS_822_skew,TGS_822_kurtosis,TGS_2600_mean,TGS_2600_std,TGS_2600_median,TGS_2600_min,TGS_2600_max,TGS_2600_range,TGS_2600_p25,TGS_2600_p75,TGS_2600_iqr,TGS_2600_skew,TGS_2600_kurtosis,TGS_2602_mean,TGS_2602_std,TGS_2602_median,TGS_2602_min,TGS_2602_max,TGS_2602_range,TGS_2602_p25,TGS_2602_p75,TGS_2602_iqr,TGS_2602_skew,TGS_2602_kurtosis,TGS_2611_mean,TGS_2611_std,TGS_2611_median,TGS_2611_min,TGS_2611_max,TGS_2611_range,TGS_2611_p25,TGS_2611_p75,TGS_2611_iqr,TGS_2611_skew,TGS_2611_kurtosis
25.906334,132.81293,0,0,2789,2789,0,0,0,10.441645,156.2206,0.58466667,22.656643,0,0,914,914,0,0,0,38.79428,1505.6459,0.222,12.157414,0,0,666,666,0,0,0,54.744865,2995.0002,4556.188,282.50967,4575,1581,6624,5043,4428,4698.25,270.25,-1.5046093,15.878766,5704.258,311.32962,5698,2226,8380,6154,5558,5851,293,-0.37295207,18.436087,11169.129,288.32156,11165,8746,14586,5840,11025,11328,303,0.419729,16.24639
1.3476666,40.655827,0,0,1438,1438,0,0,0,32.13369,1058.2473,0.437,19.499437,0,0,1052,1052,0,0,0,52.488857,2817.7515,0,0,0,0,0,0,0,0,0,0,0,4434.4443,289.58337,4445,1857,7124,5267,4298,4601,303,-0.24238871,12.197153,5322.4175,407.0901,5376,1958,7779,5821,5155,5577,422,-0.73023194,3.9162006,10519.29,322.53,10542,6824,13616,6792,10353,10709,356,-0.819407,15.838825
0.6816667,30.583345,0,0,1621,1621,0,0,0,50.45461,2635.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478.8027,306.38797,4488,1104,7832,6728,4336,4609.25,273.25,0.82634187,24.041307,5773.738,373.47812,5778,2364,9397,7033,5573,5981,408,0.08022996,11.277988,10766.956,291.21753,10759,8131,12610,4479,10629,10916,287,-0.69224125,9.011974
0.412,22.562408,0,0,1236,1236,0,0,0,54.744865,2995.0002,0.064,3.5048401,0,0,192,192,0,0,0,54.744865,2995.0002,0,0,0,0,0,0,0,0,0,0,0,4601.5024,278.98553,4607,1567,7343,5776,4474,4731.25,257.25,-0.72201055,20.87783,6194.322,310.16187,6215,3245,9414,6169,6016.75,6366,349.25,-0.3660501,11.65412,10989.003,285.8151,10986,7938,13328,5390,10840,11132,292,-0.38036105,10.726917
0.178,5.8714833,0,0,281,281,0,0,0,40.630024,1816.2635,0.34933335,19.130585,0,0,1048,1048,0,0,0,54.744865,2995.0002,0.51933336,16.644327,0,0,698,698,0,0,0,35.76262,1346.7881,4668.525,301.2859,4655,1317,7832,6515,4544,4809.25,265.25,0.36432585,25.44403,6398.4004,301.94937,6409,3583,8654,5071,6268,6552,284,-0.95052826,12.435429,11115.683,283.68463,11110,8293,13858,5565,10964,11284,320,-0.3389517,13.82611
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029333333,1.606385,0,0,88,88,0,0,0,54.744865,2995.0002,6297.762,921.4085,6525.5,2830,8702,5872,5631,7053.25,1422.25,-0.5566028,-0.6505536,7635.887,730.27484,7834,5050,10066,5016,7380.75,8118,737.25,-1.3100365,1.6284355,13499.561,718.7675,13690,10265,16459,6194,13161.5,13979.25,817.75,-0.92630583,1.0267211
0,0,0,0,0,0,0,0,0,0,0,0.060666665,3.3222964,0,0,182,182,0,0,0,54.744865,2995.0002,0,0,0,0,0,0,0,0,0,0,0,7670.1675,296.97577,7679,5120,10602,5482,7514.75,7824,309.25,0.27477285,10.634924,8730.762,414.5869,8748,6104,11541,5437,8451,9001.25,550.25,-0.018161746,2.9232671,14171.582,292.2168,14164,11399,16728,5329,14023.75,14343.25,319.5,-0.13986404,11.994344
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7712.022,285.48706,7691,5148,10336,5188,7584,7843.25,259.25,0.21921064,13.735919,9373.053,342.80405,9383,6931,12716,5785,9152,9572.25,420.25,0.62413174,8.47592,14054.558,284.52682,14045,11645,16178,4533,13897,14204,307,-0.26443022,7.7390676
0.093,5.092971,0,0,279,279,0,0,0,54.744865,2995.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7589.5703,281.74292,7595.5,4694,10110,5416,7458,7712.25,254.25,0.37880766,16.721952,9763.1045,287.0595,9745,7736,12799,5063,9626,9897,271,0.550436,12.444738,13747.9375,286.18103,13764,11034,16857,5823,13607,13883.25,276.25,0.072085336,11.779138
7729.82,2441.9531,7019,3013,15871,12858,5752,9322.5,3570.5,0.8235169,-0.20262423,25823.77,6091.2935,23039,18152,47205,29053,21645.75,28138.75,6493,1.5238881,1.6148599,21678.121,8324.779,18034,12463,42096,29633,15171,26116.5,10945.5,1.0412248,-0.1830535,5904.114,448.5724,5889.5,1745,8730,6985,5646.5,6189,542.5,-0.51519847,6.636652,5717.4893,1119.6167,6107,633,9658,9025,5192.75,6536.25,1343.5,-1.0424871,0.22171816,11817.151,740.69415,11987.5,8842,14847,6005,11399.75,12368.25,968.5,-0.69170684,0.29468644
3475.7844,678.03864,3393.5,5,6022,6017,2957.75,3920.5,962.75,0.29843456,0.14234039,19583.252,519.3712,19611,16033,22154,6121,19214,19928,714,-0.24429385,2.0626683,11990.037,830.78766,11905,7960,15674,7714,11354.75,12637.5,1282.75,0.14413649,-0.032095987,6383.959,364.6208,6398,3362,9504,6142,6221,6578,357,-0.18003634,8.714623,7005.977,404.3293,6996,4420,9964,5544,6770,7266.25,496.25,-0.17706388,3.4722717,12575.407,353.0379,12594,10824,15179,4355,12408,12783.25,375.25,-0.40389693,4.2987933
2319.5754,444.65396,2316,0,6006,6006,2075,2559,484,0.117927834,4.1961036,18951.908,461.2761,18943,15837,21804,5967,18694,19201.25,507.25,-0.1331381,3.9667296,10248.423,513.07056,10241.5,6300,13563,7263,9928,10577,649,-0.21342774,3.399941,6355.308,361.83145,6370,3291,9603,6312,6192.75,6560,367.25,-0.14147791,7.4511347,7490.9106,359.49786,7506,3848,9925,6077,7319,7679,360,-0.65398663,9.320719,12620.817,343.67508,12635,9460,14380,4920,12455,12799,344,-0.7258244,6.395241
1763.7883,361.2433,1756,0,3589,3589,1568,1963.25,395.25,-0.45276806,3.295959,18613.229,394.27737,18616,16576,21815,5239,18393.75,18819,425.25,0.4537609,7.3127346,9275.485,472.31674,9287,5912,13584,7672,8968,9597,629,0.16426405,4.6004505,6326.971,355.42072,6334,4607,9740,5133,6164,6517,353,0.47641888,8.760477,7761.9976,343.6054,7749,5086,11492,6406,7606.75,7941,334.25,0.13420792,9.702138,12454.89,355.1868,12465,9883,16690,6807,12294,12644.5,350.5,0.59578115,14.381055
